Quick sort:
(10, 0.056900000000137396)
(20, 0.04889999999990735)
(30, 0.08249999999998536)
(40, 0.12879999999992897)
(50, 0.16419999999994772)
(60, 0.30039999999997846)
(70, 0.3245999999998972)
(80, 0.4735000000000156)
(90, 0.45680000000003496)
(100, 0.5486999999999576)
(110, 0.6755999999998874)
(120, 0.617899999999949)
(130, 0.673900000000005)
(140, 0.7307000000000841)
(150, 0.6735999999998299)
(160, 0.6911000000000556)
(170, 0.8080000000001419)
(180, 0.8455999999998909)
(190, 2.000900000000083)
(200, 1.5585000000000182)
(210, 1.7759000000001635)
(220, 1.2600000000000389)
(230, 1.3601000000000862)
(240, 1.2638000000000371)
(250, 1.1745999999999146)
(260, 1.8656999999999702)
(270, 1.4674000000001186)
(280, 1.6484999999999417)
(290, 1.8173000000001327)
(300, 1.6551000000000204)
(310, 1.761900000000205)
(320, 2.38460000000007)
(330, 2.028000000000141)
(340, 1.894700000000027)
(350, 2.8862999999998973)
(360, 2.2334999999999994)
(370, 2.3802000000001655)
(380, 2.8226000000000084)
(390, 2.3158999999999264)
(400, 3.4279999999999866)
(410, 3.2535000000000203)
(420, 3.169199999999872)
(430, 3.646299999999991)
(440, 2.7112000000000247)
(450, 3.3813000000000315)
(460, 3.8785999999999543)
(470, 3.3653000000000155)
(480, 3.1385999999999914)
(490, 3.4954000000000374)
(500, 3.1733000000000455)
(510, 4.0063999999999655)
(520, 3.440600000000016)
(530, 4.213400000000034)
(540, 3.5897999999998653)
(550, 5.051700000000103)
(560, 4.062999999999928)
(570, 4.9968000000000234)
(580, 4.918899999999837)
(590, 5.490299999999948)
(600, 4.3192000000000785)
(610, 4.8007999999999384)
(620, 4.347000000000101)
(630, 4.777300000000206)
(640, 5.0066999999998085)
(650, 4.547300000000032)
(660, 4.7087999999999575)
(670, 5.319999999999991)
(680, 5.157300000000031)
(690, 5.777799999999944)
(700, 4.40700000000005)
(710, 4.753500000000077)
(720, 5.246899999999943)
(730, 4.88859999999991)
(740, 4.408999999999885)
(750, 5.275299999999872)
(760, 5.532899999999952)
(770, 5.52280000000005)
(780, 6.2885999999999775)
(790, 6.625300000000056)
(800, 5.891099999999927)
(810, 5.670999999999982)
(820, 5.168499999999909)
(830, 5.257400000000079)
(840, 6.260900000000014)
(850, 5.6186999999998655)
(860, 6.095799999999985)
(870, 6.078100000000086)
(880, 6.145199999999962)
(890, 5.919900000000089)
(900, 6.510800000000039)
(910, 6.20709999999991)
(920, 6.955299999999998)
(930, 7.051700000000105)
(940, 7.0053999999999395)
(950, 7.217299999999982)
(960, 7.001900000000116)
(970, 7.358500000000046)
(980, 8.48990000000005)
(990, 7.494300000000065)
Merge sort:
(10, 0.032400000000043505)
(20, 0.06470000000002862)
(30, 0.10700000000007925)
(40, 0.15290000000001136)
(50, 0.19500000000016726)
(60, 0.27650000000001285)
(70, 0.29049999999997134)
(80, 0.3320999999998353)
(90, 0.39850000000019037)
(100, 0.4397999999998792)
(110, 0.48599999999998644)
(120, 0.5517999999999912)
(130, 0.6432999999999023)
(140, 0.6407999999999969)
(150, 0.794699999999926)
(160, 2.008900000000091)
(170, 2.060900000000032)
(180, 1.424599999999998)
(190, 1.1164999999999647)
(200, 0.9348999999998497)
(210, 1.3176999999999772)
(220, 1.1977999999999156)
(230, 1.6405000000001557)
(240, 1.4465999999999646)
(250, 1.5541000000001137)
(260, 1.8556000000000683)
(270, 2.430699999999897)
(280, 2.231499999999942)
(290, 2.527500000000016)
(300, 2.383000000000024)
(310, 1.830199999999893)
(320, 2.468399999999926)
(330, 1.8994000000001066)
(340, 1.7039000000000915)
(350, 1.7217000000000482)
(360, 1.9076000000000093)
(370, 1.8698000000001436)
(380, 2.294999999999936)
(390, 2.0203999999999223)
(400, 2.027000000000001)
(410, 2.2164999999998436)
(420, 2.8631999999999547)
(430, 2.226700000000026)
(440, 2.415799999999857)
(450, 2.3248000000000157)
(460, 2.6870999999999423)
(470, 2.5399999999999867)
(480, 2.9738000000001374)
(490, 2.595600000000031)
(500, 2.8672000000000697)
(510, 2.7223999999999027)
(520, 2.718199999999893)
(530, 3.1326999999998772)
(540, 3.5113999999998313)
(550, 2.893400000000046)
(560, 3.2843000000000178)
(570, 3.2954000000000594)
(580, 3.2590999999999593)
(590, 3.4127999999999936)
(600, 3.297699999999848)
(610, 3.278499999999962)
(620, 3.6200000000001786)
(630, 4.070900000000099)
(640, 3.395099999999873)
(650, 3.8336000000001036)
(660, 3.704400000000163)
(670, 4.306999999999839)
(680, 4.033399999999965)
(690, 3.885499999999986)
(700, 4.081299999999732)
(710, 4.215800000000325)
(720, 4.300599999999655)
(730, 5.239800000000017)
(740, 4.836300000000016)
(750, 4.4007999999999825)
(760, 4.909399999999842)
(770, 6.011200000000105)
(780, 5.346999999999991)
(790, 5.532799999999671)
(800, 5.1931000000000616)
(810, 6.222399999999961)
(820, 5.910300000000035)
(830, 5.495999999999945)
(840, 4.999600000000104)
(850, 5.121500000000001)
(860, 5.248899999999779)
(870, 5.120500000000305)
(880, 5.55759999999994)
(890, 5.548700000000295)
(900, 5.337499999999995)
(910, 5.581800000000303)
(920, 7.112300000000182)
(930, 5.811200000000127)
(940, 7.372999999999852)
(950, 6.807200000000346)
(960, 6.92019999999971)
(970, 6.42250000000022)
(980, 6.0365)
(990, 6.49410000000028)
Heap sort:
(10, 0.0860000000000305)
(20, 0.11630000000018015)
(30, 0.17580000000005924)
(40, 0.18110000000026716)
(50, 0.2453999999998402)
(60, 0.3064999999997653)
(70, 0.4075000000001161)
